100801	75
3	2
5	4
7	3
11	10
13	12
17	8
31	5
41	20
61	60
97	48
101	100
151	15
193	96
241	24
251	50
257	16
331	30
401	200
601	25
673	48
1201	300
1321	60
1601	400
1801	25
4051	50
4801	1200
8101	100
9601	2400
23041	480
25601	400
340801	200
414721	160
29	28
113	28
37	36
109	36
580837	1164
1277	1276
181193	1276
585889	1436
74561	1864
189697	1976
2069	2068
8273	2068
49633	2068
26209	2184
279553	2184
2293	2292
4793	2396
86257	2396
306689	2396
109121	440
148721	440
541	540
30241	540
49681	540
1297	648
3889	648
797	796
598193	872
1061	1060
3181	1060
51941	1060
6221	1244
21149	1244
145601	1456
1669	1668
10009	1668
91373	1724
30977	1936
193937	2108
222337	2316
349717	2316
14281	2380
274177	128
27361	304
42373	396
235621	396
7489	468
21061	468
348661	468
17401	580
168781	580
701	700
2749	916
26881	960
3373	1124
2777	1388
12577	1572
14149	1572
33013	1572
39301	1572
342697	1572
3209	1604
2221	2220
4441	2220
6661	2220
31081	2220
858001	104
733	244
1709	244
13121	328
6689	836
941	940
7309	1044
2297	1148
10333	1148
16073	1148
2521	1260
3169	1584
1693	1692
8461	1692
28621	1908
11701	2340
