==============================================================================
PART A : kernel of Phi_n  (rows k=2..n-2, cols j=2..n-1)
==============================================================================
n    dims   rank   nullity kernel basis (as h, j=2..n-1)            ones in ker? nu2=wt(Phi*1)
134    68       84      0.5075   0.8095   NO (nu2>0)
135    66       84      0.4889   0.7857   NO (nu2>0)
136    69       84      0.5074   0.8214   NO (nu2>0)
137    57       85      0.4161   0.6706   NO (nu2>0)
138    63       86      0.4565   0.7326   NO (nu2>0)
139    66       86      0.4748   0.7674   NO (nu2>0)
140    68       87      0.4857   0.7816   NO (nu2>0)
141    68       88      0.4823   0.7727   NO (nu2>0)
142    70       89      0.4930   0.7865   NO (nu2>0)
143    63       89      0.4406   0.7079   NO (nu2>0)
144    68       90      0.4722   0.7556   NO (nu2>0)
145    56       91      0.3862   0.6154   NO (nu2>0)
146    73       92      0.5000   0.7935   NO (nu2>0)
147    79       92      0.5374   0.8587   NO (nu2>0)
148    69       93      0.4662   0.7419   NO (nu2>0)
149    78       93      0.5235   0.8387   NO (nu2>0)
150    69       94      0.4600   0.7340   NO (nu2>0)
151    66       94      0.4371   0.7021   NO (nu2>0)
152    69       95      0.4539   0.7263   NO (nu2>0)
153    59       95      0.3856   0.6211   NO (nu2>0)
154    74       95      0.4805   0.7789   NO (nu2>0)
155    61       95      0.3935   0.6421   NO (nu2>0)
156    69       95      0.4423   0.7263   NO (nu2>0)
157    67       96      0.4268   0.6979   NO (nu2>0)
158    67       96      0.4241   0.6979   NO (nu2>0)
159    78       96      0.4906   0.8125   NO (nu2>0)
160    70       97      0.4375   0.7216   NO (nu2>0)
161    71       98      0.4410   0.7245   NO (nu2>0)
162    74       99      0.4568   0.7475   NO (nu2>0)
163    83       99      0.5092   0.8384   NO (nu2>0)
164    76       100     0.4634   0.7600   NO (nu2>0)
165    82       101     0.4970   0.8119   NO (nu2>0)
166    74       101     0.4458   0.7327   NO (nu2>0)
167    81       102     0.4850   0.7941   NO (nu2>0)
168    76       102     0.4524   0.7451   NO (nu2>0)
169    87       102     0.5148   0.8529   NO (nu2>0)
170    86       103     0.5059   0.8350   NO (nu2>0)
171    80       104     0.4678   0.7692   NO (nu2>0)
172    73       105     0.4244   0.6952   NO (nu2>0)
173    97       106     0.5607   0.9151   NO (nu2>0)
174    80       107     0.4598   0.7477   NO (nu2>0)
175    80       108     0.4571   0.7407   NO (nu2>0)
176    101      109     0.5739   0.9266   NO (nu2>0)
177    88       110     0.4972   0.8000   NO (nu2>0)
178    86       111     0.4831   0.7748   NO (nu2>0)
179    86       112     0.4804   0.7679   NO (nu2>0)
180    81       113     0.4500   0.7168   NO (nu2>0)
181    87       113     0.4807   0.7699   NO (nu2>0)
182    82       114     0.4505   0.7193   NO (nu2>0)
183    91       114     0.4973   0.7982   NO (nu2>0)
184    81       115     0.4402   0.7043   NO (nu2>0)
185    90       116     0.4865   0.7759   NO (nu2>0)
186    75       116     0.4032   0.6466   NO (nu2>0)
187    87       117     0.4652   0.7436   NO (nu2>0)
188    108      118     0.5745   0.9153   NO (nu2>0)
189    89       119     0.4709   0.7479   NO (nu2>0)
190    88       120     0.4632   0.7333   NO (nu2>0)
191    85       121     0.4450   0.7025   NO (nu2>0)
192    93       121     0.4844   0.7686   NO (nu2>0)
193    79       122     0.4093   0.6475   NO (nu2>0)
194    95       123     0.4897   0.7724   NO (nu2>0)
195    93       124     0.4769   0.7500   NO (nu2>0)
196    97       124     0.4949   0.7823   NO (nu2>0)
197    97       124     0.4924   0.7823   NO (nu2>0)
198    97       124     0.4899   0.7823   NO (nu2>0)
199    106      125     0.5327   0.8480   NO (nu2>0)
