(16,5,5,6): n_p(interior endpoints) lo=0.000024 hi=9.036900 g=9 (oracle 9)

table: c=s+p+q | s | p | q | lo | hi | g
 25   6   6  13 |   0.0000 |   9.3575 |  9
 25   6   7  12 |   0.0000 |  11.2067 | 11
 25   6   8  11 |   0.0000 |  12.9565 | 12
 25   6   9  10 |   0.0000 |  14.6572 | 14
 25   7   5  13 |   0.0000 |   7.9963 |  7
 25   7   6  12 |   0.0000 |  10.2183 | 10
 25   7   7  11 |   0.0000 |  12.2290 | 12
 25   7   8  10 |   0.0000 |  14.1365 | 14
 25   8   5  12 |   0.0000 |   8.7448 |  8
 25   8   6  11 |   0.0000 |  11.1698 | 11
 25   8   7  10 |   0.0000 |  13.3693 | 13
 25   8   8   9 |   0.0000 |  15.4665 | 15
 25   9   5  11 |   0.0000 |   9.5798 |  9
 25   9   6  10 |   0.0000 |  12.2409 | 12
 25   9   7   9 |   0.0000 |  14.6667 | 14
 25  10   5  10 |   0.0000 |  10.5303 | 10
 25  10   6   9 |   0.0000 |  13.4733 | 13
 25  10   7   8 |   0.0000 |  16.1795 | 16
 25  11   5   9 |   0.0000 |  11.6383 | 11
 25  11   6   8 |   0.0000 |  14.9296 | 14
 25  12   5   8 |   0.0000 |  12.9691 | 12
 25  12   6   7 |   0.0000 |  16.7114 | 16
 25  13   5   7 |   0.0000 |  14.6319 | 14
 25  14   5   6 |   0.0000 |  16.8292 | 16
 26   5   5  16 |   0.0000 |   6.5936 |  6
 26   5   6  15 |   0.0000 |   8.4499 |  8
 26   5   7  14 |   0.0000 |  10.1298 | 10
 26   5   8  13 |   0.0000 |  11.7153 | 11
 26   5   9  12 |   0.0000 |  13.2475 | 13
 26   5  10  11 |   0.0001 |  14.7521 | 14
 26   6   5  15 |   0.0000 |   7.1963 |  7
 26   6   6  14 |   0.0000 |   9.2018 |  9
 26   6   7  13 |   0.0000 |  11.0122 | 11
 26   6   8  12 |   0.0000 |  12.7199 | 12
 26   6   9  11 |   0.0000 |  14.3722 | 14
 26   7   5  14 |   0.0000 |   7.8407 |  7
 26   7   6  13 |   0.0000 |  10.0111 | 10
 26   7   7  12 |   0.0000 |  11.9686 | 11
 26   7   8  11 |   0.0000 |  13.8170 | 13
 26   7   9  10 |   0.0001 |  15.6112 | 15
 26   8   5  13 |   0.0000 |   8.5392 |  8
 26   8   6  12 |   0.0000 |  10.8946 | 10
 26   8   7  11 |   0.0000 |  13.0207 | 13
 26   8   8  10 |   0.0000 |  15.0343 | 15
 26   9   5  12 |   0.0000 |   9.3081 |  9
 26   9   6  11 |   0.0000 |  11.8743 | 11
 26   9   7  10 |   0.0000 |  14.1974 | 14
 26   9   8   9 |   0.0000 |  16.4100 | 16
 26  10   5  11 |   0.0000 |  10.1685 | 10
 26  10   6  10 |   0.0000 |  12.9803 | 12
 26  10   7   9 |   0.0000 |  15.5398 | 15
 26  11   5  10 |   0.0000 |  11.1504 | 11
 26  11   6   9 |   0.0000 |  14.2558 | 14
 26  11   7   8 |   0.0000 |  17.1085 | 17
 26  12   5   9 |   0.0000 |  12.2976 | 12
 26  12   6   8 |   0.0000 |  15.7662 | 15
 26  13   5   8 |   0.0000 |  13.6784 | 13
 26  13   6   7 |   0.0000 |  17.6177 | 17
 26  14   5   7 |   0.0000 |  15.4067 | 15
 26  15   5   6 |   0.0000 |  17.6941 | 17
 27   5   5  17 |   0.0000 |   6.5163 |  6
 27   5   6  16 |   0.0000 |   8.3484 |  8
 27   5   7  15 |   0.0000 |  10.0043 | 10
 27   5   8  14 |   0.0000 |  11.5646 | 11
 27   5   9  13 |   0.0000 |  13.0690 | 13
 27   5  10  12 |   0.0000 |  14.5418 | 14
 27   6   5  16 |   0.0000 |   7.0939 |  7
 27   6   6  15 |   0.0000 |   9.0670 |  9
 27   6   7  14 |   0.0000 |  10.8448 | 10
 27   6   8  13 |   0.0000 |  12.5177 | 12
 27   6   9  12 |   0.0000 |  14.1312 | 14
 27   6  10  11 |   0.0001 |  15.7136 | 15
 27   7   5  15 |   0.0000 |   7.7064 |  7
 27   7   6  14 |   0.0000 |   9.8336 |  9
 27   7   7  13 |   0.0000 |  11.7471 | 11
 27   7   8  12 |   0.0000 |  13.5477 | 13
 27   7   9  11 |   0.0000 |  15.2874 | 15
 27   8   5  14 |   0.0000 |   8.3641 |  8
 27   8   6  13 |   0.0000 |  10.6618 | 10
 27   8   7  12 |   0.0000 |  12.7283 | 12
 27   8   8  11 |   0.0000 |  14.6760 | 14
 27   8   9  10 |   0.0001 |  16.5647 | 16
 27   9   5  13 |   0.0000 |   9.0796 |  9
 27   9   6  12 |   0.0000 |  11.5688 | 11
 27   9   7  11 |   0.0000 |  13.8107 | 13
 27   9   8  10 |   0.0000 |  15.9313 | 15
 27  10   5  12 |   0.0000 |   9.8695 |  9
 27  10   6  11 |   0.0000 |  12.5773 | 12
 27  10   7  10 |   0.0000 |  15.0246 | 15
