level-range diagnostic: c s p q g kmin kmax nlo nhi DLsrc DUsrc
==========================================================================================
 20  5  5 10   0    1   0    0.00000   0.00000  |a-b| t=10 gap R-r-1 
 20  7  5  8   0    1   0    0.00000   0.00000  |a-b| t=8  gap R-r-1 
 20  7  6  7   0    1   0    0.00000   0.00000  |a-b| t=7  gap R-r-1 
 20  8  5  7   0    1   0    0.00000   0.00000  |a-b| t=7  gap R-r-1 
 21  5  6 10   0    1   0    0.00000   0.00000  |a-b| t=10 gap R-r-1 
 21  7  6  8   0    1   0    0.00000   0.00000  |a-b| t=8  gap R-r-1 
 21  8  6  7   0    1   0    0.00000   0.00000  |a-b| t=7  gap R-r-1 
 22  6  5 11   0    1   0    0.00000   0.00000  |a-b| t=11 gap R-r-1 
 22  8  5  9   0    1   0    0.00000   0.00000  |a-b| t=9  gap R-r-1 
 22  9  5  8   0    1   0    0.00000   0.00000  |a-b| t=8  gap R-r-1 
 22 11  5  6   0    1   0    0.00000   0.00000  |a-b| t=6  gap R-r-1 
 23  5  5 13   0    1   0    0.00000   0.00000  |a-b| t=13 gap R-r-1 
 23  5  6 12   0    1   0    0.00000   0.00000  |a-b| t=12 gap R-r-1 
 23  5  7 11   0    1   0    0.00000   0.00000  |a-b| t=11 gap R-r-1 
 23  6  6 11   0    1   0    0.00000   0.00000  |a-b| t=11 gap R-r-1 
 23  6  7 10   0    1   0    0.00000   0.00000  |a-b| t=10 gap R-r-1 
 23  6  8  9   0    1   0    0.00000   0.00000  |a-b| t=9  gap R-r-1 
 23  7  6 10   0    1   0    0.00000   0.00000  |a-b| t=10 gap R-r-1 
 23  7  7  9   0    1   0    0.00000   0.00000  |a-b| t=9  gap R-r-1 
 23  8  5 10   0    1   0    0.00000   0.00000  |a-b| t=10 gap R-r-1 
 23  8  6  9   0    1   0    0.00000   0.00000  |a-b| t=9  gap R-r-1 
 23  9  5  9   0    1   0    0.00000   0.00000  |a-b| t=9  gap R-r-1 
 23  9  6  8   0    1   0    0.00000   0.00000  |a-b| t=8  gap R-r-1 
 23 10  6  7   0    1   0    0.00000   0.00000  |a-b| t=7  gap R-r-1 
 23 11  5  7   0    1   0    0.00000   0.00000  |a-b| t=7  gap R-r-1 
 24  5  8 11   0    1   0    0.00000   0.00000  |a-b| t=11 gap R-r-1 
 24  5  9 10   0    1   0    0.00000   0.00000  |a-b| t=10 gap R-r-1 
 24  6  6 12   0    1   0    0.00000   0.00000  |a-b| t=12 gap R-r-1 
 24  6  8 10   0    1   0    0.00000   0.00000  |a-b| t=10 gap R-r-1 
 24  7  6 11   0    1   0    0.00000   0.00000  |a-b| t=11 gap R-r-1 
 24  8  6 10   0    1   0    0.00000   0.00000  |a-b| t=10 gap R-r-1 
 24  9  6  9   0    1   0    0.00000   0.00000  |a-b| t=9  gap R-r-1 
 24 10  6  8   0    1   0    0.00000   0.00000  |a-b| t=8  gap R-r-1 
 25  5  5 15   0    1   0    0.00000   0.00000  |a-b| t=15 gap R-r-1 
 25  5  9 11   0    1   0    0.00000   0.00000  |a-b| t=11 gap R-r-1 
 25  6  9 10   0    1   0    0.00000   0.00000  |a-b| t=10 gap R-r-1 
 25  8  5 12   0    1   0    0.00000   0.00000  |a-b| t=12 gap R-r-1 
 25  9  5 11   0    1   0    0.00000   0.00000  |a-b| t=11 gap R-r-1 
 25 11  5  9   0    1   0    0.00000   0.00000  |a-b| t=9  gap R-r-1 
 25 13  5  7   0    1   0    0.00000   0.00000  |a-b| t=7  gap R-r-1 
 25 14  5  6   0    1   0    0.00000   0.00000  |a-b| t=6  gap R-r-1 
 26  5  7 14   0    1   0    0.00000   0.00000  |a-b| t=14 gap R-r-1 
 26  7  5 14   0    1   0    0.00000   0.00000  |a-b| t=14 gap R-r-1 
 26  7  6 13   0    1   0    0.00000   0.00000  |a-b| t=13 gap R-r-1 
 26  8  6 12   0    1   0    0.00000   0.00000  |a-b| t=12 gap R-r-1 
 26  9  6 11   0    1   0    0.00000   0.00000  |a-b| t=11 gap R-r-1 
 26  9  7 10   0    1   0    0.00000   0.00000  |a-b| t=10 gap R-r-1 
 26 10  6 10   0    1   0    0.00000   0.00000  |a-b| t=10 gap R-r-1 
 26 10  7  9   0    1   0    0.00000   0.00000  |a-b| t=9  gap R-r-1 
 26 11  5 10   0    1   0    0.00000   0.00000  |a-b| t=10 gap R-r-1 
 26 11  7  8   0    1   0    0.00000   0.00000  |a-b| t=8  gap R-r-1 
 26 12  6  8   0    1   0    0.00000   0.00000  |a-b| t=8  gap R-r-1 
 26 13  6  7   0    1   0    0.00000   0.00000  |a-b| t=7  gap R-r-1 
 26 15  5  6   0    1   0    0.00000   0.00000  |a-b| t=6  gap R-r-1 
 27  8  8 11   0    1   0    0.00000   0.00000  |a-b| t=11 gap R-r-1 
 27  9  6 12   0    1   0    0.00000   0.00000  |a-b| t=12 gap R-r-1 
 27 10  6 11   0    1   0    0.00000   0.00000  |a-b| t=11 gap R-r-1 
 27 10  8  9   0    1   0    0.00000   0.00000  |a-b| t=9  gap R-r-1 
 27 11  5 11   0    1   0    0.00000   0.00000  |a-b| t=11 gap R-r-1 
 27 13  6  8   0    1   0    0.00000   0.00000  |a-b| t=8  gap R-r-1 
 27 14  6  7   0    1   0    0.00000   0.00000  |a-b| t=7  gap R-r-1 
 27 16  5  6   0    1   0    0.00000   0.00000  |a-b| t=6  gap R-r-1 
